x,y,z,text
1601991750113,4.59,1,None
1601991750133,5.37,1,None
1601991750153,6.33,1,None
1601991750173,7.34,1,None
1601991750193,8.64,1,None
1601991750213,10.14,1,None
1601991750233,11.72,1,None
1601991750253,13.2,1,None
1601991750273,14.6,1,None
1601991750293,16.1,1,None
1601991750315,17.64,1,None
1601991750335,19.12,1,None
1601991750355,20.45,1,None
1601991750375,21.55,1,None
1601991750395,22.66,1,None
1601991750415,23.63,1,None
1601991750435,24.66,1,None
1601991750455,25.55,1,None
1601991750475,26.31,1,None
1601991750495,27.07,1,None
1601991750514,27.69,1,None
1601991750535,28.23,1,None
1601991750555,28.76,1,None
1601991750575,29.11,1,None
1601991750595,29.57,1,None
1601991750615,29.91,1,None
1601991750635,30.18,1,None
1601991750655,30.51,1,None
1601991750675,30.77,1,None
1601991750695,30.98,1,None
1601991750715,31.24,1,None
1601991750735,31.45,1,None
1601991750755,31.73,1,None
1601991750775,31.75,1,None
1601991750797,31.76,1,None
1601991750815,31.64,1,None
1601991750835,31.43,1,None
1601991750856,30.9,1,None
1601991750875,30.28,1,None
1601991750895,29.32,1,None
1601991750915,28.28,1,None
1601991750935,26.98,1,None
1601991750955,25.54,1,None
1601991750975,23.89,1,None
1601991750995,22.26,1,None
1601991751015,20.71,1,None
1601991751035,18.95,1,None
1601991751055,17.25,1,None
1601991751075,15.45,1,None
1601991751095,14.08,1,None
1601991751115,12.7,1,None
1601991751134,11.32,1,None
1601991751155,10.07,1,None
1601991751175,8.95,1,None
1601991751195,7.84,1,None
1601991751215,7.11,1,None
1601991751235,6.44,1,None
1601991751255,5.84,1,None
1601991751275,5.32,1,None
1601991751295,4.84,1,None
1601991751315,4.43,1,None
1601991751335,4.12,1,None
1601991751355,3.79,1,None
1601991751375,3.52,1,None
1601991751395,3.31,1,None
1601991751415,3.13,1,None
1601991751435,2.92,1,None
1601991751455,2.77,1,None
1601991751477,2.65,1,None
1601991751497,2.51,1,None
1601991751517,2.39,1,None
1601991751537,2.25,1,None
1601991751557,2.13,1,None
1601991751577,2.08,1,None
1601991751597,2.02,1,None
1601991751617,1.96,1,None
1601991751637,1.9,1,None
1601991751657,1.87,1,None
1601991751677,1.81,1,None
1601991751696,1.75,1,None
1601991751708,1.72,1,None
1601991751727,1.66,1,None
1601991751747,1.63,1,None
1601991751767,1.57,1,None
1601991751787,1.52,1,None
1601991751807,1.49,1,None
1601991751827,1.45,1,None
1601991751847,1.42,1,None
1601991751867,1.37,1,None
1601991751887,1.36,1,None
1601991751907,1.39,1,None
1601991751927,1.53,1,None
1601991751947,1.74,1,None
1601991751967,2.06,1,None
1601991751987,2.54,1,None
1601991752007,3.13,1,None
1601991752027,3.87,1,None
1601991752047,4.74,1,None
1601991752067,5.68,1,None
1601991752087,6.68,1,None
1601991752107,7.72,1,None
1601991752127,9.24,1,None
1601991752147,10.74,1,None
1601991752167,12.21,1,None
1601991752187,13.76,1,None
1601991752207,15.21,1,None
1601991752227,16.82,1,None
1601991752247,18.74,1,None
1601991752267,20.34,1,None
1601991752287,21.77,1,None
1601991752307,23.05,1,None
1601991752327,24.39,1,None
1601991752347,25.55,1,None
1601991752367,26.51,1,None
1601991752387,27.34,1,None
1601991752408,27.96,1,None
1601991752427,28.66,1,None
1601991752447,29.21,1,None
1601991752467,29.63,1,None
1601991752487,30.04,1,None
1601991752507,30.32,1,None
1601991752527,30.59,1,None
1601991752547,30.85,1,None
1601991752567,30.92,1,None
1601991752589,31.03,1,None
1601991752609,31.03,1,None
1601991752629,30.87,1,None
1601991752649,30.72,1,None
1601991752669,30.3,1,None
1601991752689,29.6,1,None
1601991752709,28.83,1,None
1601991752729,27.72,1,None
1601991752749,26.27,1,None
1601991752769,24.63,1,None
1601991752789,22.75,1,None
1601991752809,20.98,1,None
1601991752829,19.01,1,None
1601991752849,17.05,1,None
1601991752869,15.22,1,None
1601991752889,13.71,1,None
1601991752909,12.36,1,None
1601991752929,11.04,1,None
1601991752949,9.79,1,None
1601991752969,8.68,1,None
1601991752989,7.67,1,None
1601991753009,6.97,1,None
1601991753029,6.33,1,None
1601991753049,5.73,1,None
1601991753069,5.25,1,None
1601991753089,4.79,1,None
1601991753109,4.37,1,None
1601991753129,4.04,1,None
1601991753149,3.74,1,None
1601991753169,3.44,1,None
1601991753189,3.23,1,None
1601991753209,3.02,1,None
1601991753228,2.81,1,None
1601991753249,2.63,1,None
1601991753269,2.54,1,None
1601991753289,2.39,1,None
1601991753308,2.3,1,None
1601991753328,2.19,1,None
1601991753349,2.1,1,None
1601991753369,2.04,1,None
1601991753389,1.95,1,None
1601991753409,1.89,1,None
1601991753438,1.84,1,None
1601991753477,1.81,1,None
1601991753477,1.72,1,None
1601991753492,1.67,1,None
1601991753509,1.61,1,None
1601991753529,1.55,1,None
1601991753549,1.5,1,None
1601991753569,1.47,1,None
1601991753589,1.38,1,None
1601991753609,1.33,1,None
1601991753629,1.3,1,None
1601991753649,1.3,1,None
1601991753669,1.35,1,None
1601991753688,1.5,1,None
1601991753711,1.74,1,None
1601991753731,2.12,1,None
1601991753751,2.62,1,None
1601991753771,3.45,1,None
1601991753791,4.31,1,None
1601991753811,5.29,1,None
1601991753831,6.31,1,None
1601991753851,7.49,1,None
1601991753871,8.97,1,None
1601991753891,10.46,1,None
1601991753911,12.04,1,None
1601991753931,13.47,1,None
1601991753951,14.94,1,None
1601991753971,16.64,1,None
1601991753991,18.27,1,None
1601991754011,19.92,1,None
1601991754031,21.25,1,None
1601991754051,22.54,1,None
1601991754071,23.83,1,None
1601991754091,24.94,1,None
1601991754101,25.99,1,None
1601991754120,26.88,1,None
1601991754140,27.59,1,None
1601991754161,28.23,1,None
1601991754181,28.85,1,None
1601991754201,29.28,1,None
1601991754221,29.7,1,None
1601991754241,30.06,1,None
1601991754261,30.41,1,None
1601991754281,30.69,1,None
1601991754301,30.9,1,None
1601991754322,31.11,1,None
1601991754341,31.37,1,None
1601991754361,31.58,1,None
1601991754381,31.76,1,None
1601991754401,31.95,1,None
1601991754421,32.09,1,None
1601991754441,32.27,1,None
1601991754461,32.46,1,None
1601991754481,32.53,1,None
1601991754501,32.6,1,None
1601991754521,32.8,1,None
1601991754541,32.87,1,None
1601991754561,33.01,1,None
1601991754581,33.08,1,None
1601991754601,33.22,1,None
1601991754621,33.29,1,None
1601991754641,33.29,1,None
1601991754661,33.29,1,None
1601991754682,33.09,1,None
1601991754701,32.69,1,None
1601991754721,32.2,1,None
1601991754741,31.45,1,None
1601991754761,30.47,1,None
1601991754781,29.3,1,None
1601991754803,27.92,1,None
1601991754823,26.47,1,None
1601991754843,24.63,1,None
1601991754863,22.86,1,None
1601991754883,21.25,1,None
1601991754903,19.49,1,None
1601991754923,17.68,1,None
1601991754943,15.78,1,None
1601991754963,14.48,1,None
1601991754983,12.88,1,None
1601991755003,11.57,1,None
1601991755023,10.36,1,None
1601991755043,9.19,1,None
1601991755063,8.16,1,None
1601991755083,7.4,1,None
1601991755103,6.73,1,None
1601991755123,6.18,1,None
1601991755143,5.66,1,None
1601991755163,5.21,1,None
1601991755183,4.82,1,None
1601991755203,4.43,1,None
1601991755223,4.14,1,None
1601991755243,3.81,1,None
1601991755263,3.55,1,None
1601991755283,3.34,1,None
1601991755303,3.11,1,None
1601991755323,2.96,1,None
1601991755343,2.78,1,None
1601991755363,2.67,1,None
1601991755384,2.55,1,None
1601991755403,2.43,1,None
1601991755423,2.34,1,None
1601991755443,2.26,1,None
1601991755463,2.17,1,None
1601991755483,2.11,1,None
1601991755503,2.05,1,None
1601991755523,2.02,1,None
1601991755543,1.96,1,None
1601991755563,1.91,1,None
1601991755583,1.85,1,None
1601991755603,1.79,1,None
1601991755623,1.73,1,None
1601991755643,1.67,1,None
1601991755663,1.64,1,None
1601991755683,1.58,1,None
1601991755705,1.57,1,None
1601991755723,1.52,1,None
1601991755743,1.49,1,None
1601991755763,1.45,1,None
1601991755783,1.42,1,None
1601991755803,1.42,1,None
1601991755823,1.39,1,None
1601991755843,1.36,1,None
1601991755863,1.36,1,None
1601991755883,1.39,1,None
1601991755905,1.51,1,None
1601991755925,1.66,1,None
1601991755945,1.95,1,None
1601991755965,2.39,1,None
1601991755985,2.95,1,None
1601991756005,3.7,1,None
1601991756025,4.62,1,None
1601991756045,5.65,1,None
1601991756065,6.86,1,None
1601991756085,8.12,1,None
1601991756105,9.85,1,None
1601991756125,11.31,1,None
1601991756145,13.11,1,None
1601991756165,14.72,1,None
1601991756185,16.35,1,None
1601991756205,18.11,1,None
1601991756225,19.71,1,None
1601991756245,21.14,1,None
1601991756265,22.75,1,None
1601991756285,24.15,1,None
1601991756305,25.52,1,None
1601991756325,26.69,1,None
1601991756345,27.73,1,None
1601991756365,28.63,1,None
1601991756385,29.39,1,None
1601991756405,29.94,1,None
1601991756425,30.5,1,None
1601991756444,30.97,1,None
1601991756465,31.32,1,None
1601991756485,31.65,1,None
1601991756505,32,1,None
1601991756525,32.27,1,None
1601991756545,32.48,1,None
1601991756565,32.76,1,None
1601991756575,33.02,1,None
1601991756595,33.23,1,None
1601991756616,33.37,1,None
1601991756635,33.44,1,None
1601991756655,33.44,1,None
1601991756675,33.16,1,None
1601991756695,32.74,1,None
1601991756715,32.04,1,None
1601991756735,31.2,1,None
1601991756755,29.62,1,None
1601991756775,28.3,1,None
1601991756795,26.3,1,None
1601991756816,24.31,1,None
1601991756835,22.34,1,None
1601991756855,20.57,1,None
1601991756875,18.81,1,None
1601991756895,16.91,1,None
1601991756915,15.19,1,None
1601991756935,13.76,1,None
1601991756955,12.41,1,None
1601991756975,11.12,1,None
1601991756995,9.87,1,None
1601991757017,8.79,1,None
1601991757037,7.7,1,None
1601991757057,7.02,1,None
1601991757077,6.41,1,None
1601991757098,5.84,1,None
1601991757117,5.32,1,None
1601991757137,4.87,1,None
1601991757157,4.45,1,None
1601991757177,4.12,1,None
1601991757197,3.82,1,None
1601991757217,3.55,1,None
1601991757237,3.34,1,None
1601991757257,3.1,1,None
1601991757277,2.92,1,None
1601991757297,2.75,1,None
1601991757317,2.6,1,None
1601991757337,2.48,1,None
1601991757357,2.36,1,None
1601991757377,2.27,1,None
1601991757397,2.16,1,None
1601991757417,2.07,1,None
1601991757437,2.01,1,None
1601991757457,1.93,1,None
1601991757477,1.85,1,None
1601991757497,1.82,1,None
1601991757517,1.73,1,None
1601991757537,1.68,1,None
1601991757557,1.65,1,None
1601991757577,1.59,1,None
1601991757597,1.56,1,None
1601991757617,1.5,1,None
1601991757637,1.5,1,None
1601991757657,1.44,1,None
1601991757677,1.41,1,None
1601991757697,1.4,1,None
1601991757717,1.37,1,None
1601991757737,1.33,1,None
1601991757757,1.3,1,None
1601991757777,1.35,1,None
1601991757797,1.47,1,None
1601991757817,1.71,1,None
1601991757837,2.09,1,None
1601991757858,2.62,1,None
1601991757877,3.33,1,None
1601991757897,4.14,1,None
1601991757918,5.07,1,None
1601991757937,6.15,1,None
1601991757957,7.28,1,None
1601991757977,8.64,1,None
1601991757997,10.21,1,None
1601991758017,11.67,1,None
1601991758037,13.19,1,None
1601991758057,14.7,1,None
1601991758077,16.29,1,None
1601991758097,18.04,1,None
1601991758119,19.63,1,None
1601991758140,21.08,1,None
1601991758159,22.37,1,None
1601991758179,23.55,1,None
1601991758199,24.78,1,None
1601991758219,25.81,1,None
1601991758239,26.71,1,None
1601991758259,27.4,1,None
1601991758279,28.02,1,None
1601991758299,28.64,1,None
1601991758319,28.99,1,None
1601991758339,29.47,1,None
1601991758359,29.82,1,None
1601991758379,30.22,1,None
1601991758399,30.48,1,None
1601991758419,30.69,1,None
1601991758439,30.96,1,None
1601991758459,31.29,1,None
1601991758479,31.5,1,None
1601991758499,31.71,1,None
1601991758519,31.85,1,None
1601991758539,31.92,1,None
1601991758559,31.92,1,None
1601991758579,31.85,1,None
1601991758599,31.71,1,None
1601991758619,31.43,1,None
1601991758639,30.94,1,None
1601991758659,30.26,1,None
1601991758680,29.43,1,None
1601991758699,28.39,1,None
1601991758720,27.14,1,None
1601991758742,25.51,1,None
1601991758759,23.59,1,None
1601991758779,21.86,1,None
1601991758800,19.98,1,None
1601991758819,18.06,1,None
1601991758839,16.22,1,None
1601991758859,14.36,1,None
1601991758880,12.89,1,None
1601991758900,11.47,1,None
1601991758919,10.22,1,None
1601991758939,9.02,1,None
1601991758959,7.95,1,None
1601991758979,7.19,1,None
1601991758999,6.52,1,None
1601991759009,5.97,1,None
1601991759029,5.45,1,None
1601991759049,5,1,None
1601991759069,4.6,1,None
1601991759089,4.22,1,None
1601991759109,3.89,1,None
1601991759129,3.61,1,None
1601991759149,3.37,1,None
1601991759169,3.14,1,None
1601991759189,2.93,1,None
1601991759209,2.75,1,None
1601991759229,2.6,1,None
1601991759249,2.46,1,None
1601991759271,2.34,1,None
1601991759291,2.25,1,None
1601991759311,2.16,1,None
1601991759331,2.1,1,None
1601991759351,2.02,1,None
1601991759371,1.99,1,None
1601991759391,1.9,1,None
1601991759411,1.82,1,None
1601991759431,1.79,1,None
1601991759451,1.73,1,None
1601991759471,1.7,1,None
1601991759491,1.64,1,None
1601991759511,1.61,1,None
1601991759539,1.55,1,None
1601991759551,1.52,1,None
1601991759574,1.46,1,None
1601991759591,1.41,1,None
1601991759611,1.38,1,None
1601991759632,1.37,1,None
1601991759651,1.46,1,None
1601991759671,1.57,1,None
1601991759691,1.89,1,None
1601991759711,2.24,1,None
1601991759731,2.81,1,None
1601991759752,3.57,1,None
